date,asm_domestic,asm_international,flights_domestic,flights_international,passengers_domestic,passengers_international,rpm_domestic,rpm_international,airport
2005-08-01,2430419,1021286.0,18347,1632.0,2205316,226362.0,1946079,755940.0,ATL
2005-09-01,2091704,957000.0,15242,1530.0,1797317,213711.0,1557336,735956.0,ATL
2005-10-01,2128745,921473.0,15786,1516.0,1874057,203081.0,1577923,670168.0,ATL
2005-11-01,2019138,866854.0,14651,1444.0,1823238,201129.0,1555924,644649.0,ATL
2005-12-01,2035029,994808.0,14525,1761.0,1850536,262801.0,1639889,786007.0,ATL
2006-01-01,1966084,969163.0,14268,1737.0,1729729,224971.0,1512062,694151.0,ATL
2006-02-01,1762856,847167.0,12808,1550.0,1613983,205201.0,1391812,614814.0,ATL
2006-03-01,2046580,1028910.0,14575,1889.0,1967805,278025.0,1722690,837559.0,ATL
2006-04-01,1928413,1079972.0,13626,1890.0,1728240,263705.0,1519646,825208.0,ATL
2006-05-01,1888172,1196544.0,13393,1932.0,1720025,296646.0,1524521,1004797.0,ATL
2006-06-01,1948298,1329994.0,13440,2139.0,1841085,355159.0,1704552,1184967.0,ATL
2006-07-01,2022092,1403038.0,13755,2304.0,1893730,345564.0,1796104,1108029.0,ATL
2006-08-01,2038288,1343034.0,13869,2195.0,1749431,303423.0,1662710,1010019.0,ATL
2006-09-01,1880872,1181790.0,13185,1737.0,1574046,246128.0,1412621,915640.0,ATL
2006-10-01,1962467,1153884.0,14099,1713.0,1819637,231702.0,1574804,829615.0,ATL
2006-11-01,1899062,982710.0,13703,1717.0,1767836,242123.0,1517994,763350.0,ATL
2006-12-01,1837100,1099590.0,13118,1985.0,1691096,307660.0,1483390,895189.0,ATL
2007-01-01,1785564,1136313.0,12459,2011.0,1545016,273906.0,1384507,841058.0,ATL
2007-02-01,1625482,1010018.0,11331,1810.0,1471619,249236.0,1296884,740694.0,ATL
2007-03-01,1869673,1169297.0,13054,2071.0,1874053,320185.0,1619087,986993.0,ATL
2007-04-01,1751215,1129757.0,12324,1929.0,1736638,276463.0,1496097,884097.0,ATL
2007-05-01,1784628,1249393.0,12362,1967.0,1711255,307140.0,1520330,1051470.0,ATL
2007-06-01,1893582,1417140.0,12744,2184.0,1832619,361342.0,1692364,1239660.0,ATL
2007-07-01,1977526,1488072.0,13111,2305.0,1892886,360670.0,1789117,1202706.0,ATL
2007-08-01,1975562,1449434.0,13203,2185.0,1846347,324207.0,1734577,1144215.0,ATL
2007-09-01,1821724,1269051.0,12534,1752.0,1585198,267196.0,1447146,1029551.0,ATL
2007-10-01,1930557,1232822.0,13648,1730.0,1807279,258330.0,1583888,963796.0,ATL
2007-11-01,1871436,1130026.0,12968,1741.0,1687844,259762.0,1475302,891859.0,ATL
2007-12-01,1840918,1254813.0,12513,1983.0,1619515,319824.0,1472611,1047011.0,ATL
2008-01-01,1767393,1224830.0,11931,1942.0,1511668,281624.0,1390982,932405.0,ATL
2008-02-01,1703403,1129348.0,11641,1812.0,1528877,262409.0,1375931,836996.0,ATL
2008-03-01,1854887,1285488.0,12737,2049.0,1835484,330196.0,1622664,1068875.0,ATL
2008-04-01,1734960,1288238.0,12059,1858.0,1679468,283677.0,1484469,1001043.0,ATL
2008-05-01,1689939,1440857.0,11747,1957.0,1650768,327923.0,1480731,1225821.0,ATL
2008-06-01,1824045,1560183.0,12372,2183.0,1776232,375644.0,1642757,1348565.0,ATL
